# rho_min  rho_max   fraction
#  kg/m^3   kg/m^3
  3450.00  3500.00  2.465e-02
  3500.00  3550.00  2.492e-02
  3550.00  3600.00  2.507e-02
  3600.00  3650.00  2.512e-02
  3650.00  3700.00  2.507e-02
  3700.00  3750.00  2.491e-02
  3750.00  3800.00  2.467e-02
  3800.00  3850.00  2.433e-02
  3850.00  3900.00  2.392e-02
  3900.00  3950.00  2.343e-02
  3950.00  4000.00  2.288e-02
  4000.00  4050.00  2.227e-02
  4050.00  4100.00  2.161e-02
  4100.00  4150.00  2.091e-02
  4150.00  4200.00  2.018e-02
  4200.00  4250.00  1.942e-02
  4250.00  4300.00  1.864e-02
  4300.00  4350.00  1.785e-02
  4350.00  4400.00  1.705e-02
  4400.00  4450.00  1.625e-02
  4450.00  4500.00  1.545e-02
  4500.00  4550.00  1.466e-02
  4550.00  4600.00  1.388e-02
  4600.00  4650.00  1.312e-02
  4650.00  4700.00  1.237e-02
  4700.00  4750.00  1.165e-02
  4750.00  4800.00  1.095e-02
  4800.00  4850.00  1.027e-02
  4850.00  4900.00  9.618e-03
  4900.00  4950.00  8.994e-03
  4950.00  5000.00  8.396e-03
  5000.00  5050.00  7.827e-03
  5050.00  5100.00  7.285e-03
  5100.00  5150.00  6.772e-03
  5150.00  5200.00  6.286e-03
  5200.00  5250.00  5.828e-03
  5250.00  5300.00  5.396e-03
  5300.00  5350.00  4.990e-03
  5350.00  5400.00  4.609e-03
  5400.00  5450.00  4.252e-03
  5450.00  5500.00  3.918e-03
  5500.00  5550.00  3.607e-03
  5550.00  5600.00  3.317e-03
  5600.00  5650.00  3.048e-03
  5650.00  5700.00  2.797e-03
  5700.00  5750.00  2.565e-03
  5750.00  5800.00  2.350e-03
  5800.00  5850.00  2.151e-03
  5850.00  5900.00  1.967e-03
  5900.00  5950.00  1.798e-03
  5950.00  6000.00  1.642e-03
  6000.00  6050.00  1.498e-03
  6050.00  6100.00  1.366e-03
  6100.00  6150.00  1.244e-03
  6150.00  6200.00  1.133e-03
  6200.00  6250.00  1.031e-03
  6250.00  6300.00  9.372e-04
  6300.00  6350.00  8.516e-04
  6350.00  6400.00  7.734e-04
  6400.00  6450.00  7.020e-04
  6450.00  6500.00  6.368e-04
  6500.00  6550.00  5.773e-04
  6550.00  6600.00  5.231e-04
  6600.00  6650.00  4.738e-04
  6650.00  6700.00  4.289e-04
  6700.00  6750.00  3.880e-04
  6750.00  6800.00  3.509e-04
  6800.00  6850.00  3.172e-04
  6850.00  6900.00  2.867e-04
  6900.00  6950.00  2.589e-04
  6950.00  7000.00  2.338e-04
  7000.00  7050.00  2.110e-04
  7050.00  7100.00  1.903e-04
  7100.00  7150.00  1.716e-04
  7150.00  7200.00  1.547e-04
  7200.00  7250.00  1.395e-04
  7250.00  7300.00  1.256e-04
  7300.00  7350.00  1.132e-04
  7350.00  7400.00  1.019e-04
  7400.00  7450.00  9.171e-05
  7450.00  7500.00  8.253e-05
  7500.00  7550.00  7.425e-05
  7550.00  7600.00  6.678e-05
  7600.00  7650.00  6.005e-05
  7650.00  7700.00  5.398e-05
  7700.00  7750.00  4.851e-05
  7750.00  7800.00  4.359e-05
  7800.00  7850.00  3.916e-05
  7850.00  7900.00  3.517e-05
  7900.00  7950.00  3.159e-05
  7950.00  8000.00  2.836e-05
