# rho_min  rho_max   fraction
#  kg/m^3   kg/m^3
  5850.00  5900.00  4.530e-12
  5900.00  5950.00  3.710e-12
  5950.00  6000.00  3.041e-12
  6000.00  6050.00  2.495e-12
  6050.00  6100.00  2.048e-12
  6100.00  6150.00  1.683e-12
  6150.00  6200.00  1.384e-12
  6200.00  6250.00  1.139e-12
  6250.00  6300.00  9.386e-13
  6300.00  6350.00  7.738e-13
  6350.00  6400.00  6.384e-13
  6400.00  6450.00  5.271e-13
  6450.00  6500.00  4.355e-13
  6500.00  6550.00  3.603e-13
  6550.00  6600.00  2.982e-13
  6600.00  6650.00  2.469e-13
  6650.00  6700.00  2.047e-13
  6700.00  6750.00  1.698e-13
  6750.00  6800.00  1.409e-13
  6800.00  6850.00  1.171e-13
  6850.00  6900.00  9.737e-14
  6900.00  6950.00  8.094e-14
  6950.00  7000.00  6.739e-14
  7000.00  7050.00  5.618e-14
  7050.00  7100.00  4.685e-14
  7100.00  7150.00  3.908e-14
  7150.00  7200.00  3.264e-14
  7200.00  7250.00  2.720e-14
  7250.00  7300.00  2.276e-14
  7300.00  7350.00  1.910e-14
  7350.00  7400.00  1.588e-14
  7400.00  7450.00  1.343e-14
  7450.00  7500.00  1.121e-14
  7500.00  7550.00  9.326e-15
  7550.00  7600.00  7.883e-15
  7600.00  7650.00  6.661e-15
  7650.00  7700.00  5.551e-15
  7700.00  7750.00  4.663e-15
  7750.00  7800.00  3.997e-15
  7800.00  7850.00  3.331e-15
  7850.00  7900.00  2.776e-15
  7900.00  7950.00  2.331e-15
  7950.00  8000.00  1.998e-15
